Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Bamboo Shoots - 1 oz Portion (28g),15,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,3,1%,1,4%,0,1,2%,2%
Bean Sprouts - 1 oz Portion (28g),8,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,1,0%,< 1,3%,0,1,0%,0%
Beef Bulgogi - 4 oz Portion (113g),312,144,16,24%,5,27%,0,95,32%,580,24%,190,4%,13,4%,0,0%,10,31,2%,15%
Beef Bulgogi - 3 oz Portion (85g),234,108,12,18%,4,20%,0,70,24%,430,18%,140,3%,9,3%,0,0%,8,23,2%,10%
Beef Dumpling - 6 Dumplings (123g),205,45,5,8%,1.5,9%,0,15,6%,400,17%,0,0%,29,10%,2,6%,2,10,0%,0%
Brown Rice - 6 oz Portion (170g),189,14,1.5,3%,0,0%,0,0,0%,10,0%,0,0%,39,13%,3,12%,0,5,2%,4%
Brown Rice - 6 oz Portion (170g),189,14,1.5,3%,0,0%,0,0,0%,10,0%,0,0%,39,13%,3,12%,0,5,2%,4%
Brown Rice - 6 oz Portion (170g),189,14,1.5,3%,0,0%,0,0,0%,10,0%,0,0%,39,13%,3,12%,0,5,2%,4%
Brown Rice - 6 oz Portion (170g),189,14,1.5,3%,0,0%,0,0,0%,10,0%,0,0%,39,13%,3,12%,0,5,2%,4%
Brown Rice - 6 oz Portion (170g),189,14,1.5,3%,0,0%,0,0,0%,10,0%,0,0%,39,13%,3,12%,0,5,2%,4%
Bubu Arare - .2 oz Portion (6g),23,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,5,2%,0,0%,5,< 1,0%,0%
Bubu Arare - .2 oz Portion (6g),23,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,5,2%,0,0%,5,< 1,0%,0%
Bubu Arare - .2 oz Portion (6g),23,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,5,2%,0,0%,5,< 1,0%,0%
Bubu Arare - .2 oz Portion (6g),23,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,5,2%,0,0%,5,< 1,0%,0%
Bubu Arare - .2 oz Portion (6g),23,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,5,2%,0,0%,5,< 1,0%,0%
Bubu Arare - .2 oz Portion (6g),23,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,5,2%,0,0%,5,< 1,0%,0%
Chashu (Pork Belly) - .16 oz Portion (5g),18,18,2,3%,0.5,3%,0,0,1%,25,1%,0,0%,0,0%,0,0%,0,0,0%,0%
Chicken Dumpling - 6 Dumplings (111g),182,54,6,10%,1,4%,0,30,9%,470,20%,0,0%,21,7%,0,0%,2,11,0%,0%
Cilantro - .1 oz Portion (3g),1,0,0,0%,0,0%,0,0,0%,0,0%,15,0%,0,0%,0,0%,0,0,0%,0%
Cilantro - .1 oz Portion (3g),1,0,0,0%,0,0%,0,0,0%,0,0%,15,0%,0,0%,0,0%,0,0,0%,0%
Cilantro - .1 oz Portion (3g),1,0,0,0%,0,0%,0,0,0%,0,0%,15,0%,0,0%,0,0%,0,0,0%,0%
Crab Salad - 1 oz Portion (28g),66,40,4.5,7%,0.5,3%,0,5,2%,150,6%,0,0%,4,1%,0,0%,1,3,0%,0%
Crab Salad - 1 oz Portion (28g),66,40,4.5,7%,0.5,3%,0,5,2%,150,6%,0,0%,4,1%,0,0%,1,3,0%,0%
Crab Salad - 1 oz Portion (28g),66,40,4.5,7%,0.5,3%,0,5,2%,150,6%,0,0%,4,1%,0,0%,1,3,0%,0%
Cusabi Sauce - .2 oz Portion (1820g),32,32,3.5,6%,0.5,3%,0,0,0%,45,2%,0,0%,0,0%,0,0%,0,0,0%,0%
Cusabi Sauce - .2 oz Portion (1820g),32,32,3.5,6%,0.5,3%,0,0,0%,45,2%,0,0%,0,0%,0,0%,0,0,0%,0%
Cusabi Sauce - 0.3 oz Portion (2731g),48,45,5,8%,1,4%,0,0,0%,70,3%,0,0%,0,0%,0,0%,0,0,0%,0%
Cusabi Sauce - .2 oz Portion (1820g),32,32,3.5,6%,0.5,3%,0,0,0%,45,2%,0,0%,0,0%,0,0%,0,0,0%,0%
Cusabi Sauce - .4 oz Portion (3641g),64,63,7,11%,1,6%,0,0,1%,95,4%,0,0%,0,0%,0,0%,0,0,0%,0%
Eel Sauce - .2 oz Portion (6g),11,0,0,0%,0,0%,0,0,0%,115,5%,0,0%,2,1%,0,0%,2,0,2%,0%
Eel Sauce - .2 oz Portion (6g),11,0,0,0%,0,0%,0,0,0%,115,5%,0,0%,2,1%,0,0%,2,0,2%,0%
Eel Sauce - .2 oz Portion (6g),11,0,0,0%,0,0%,0,0,0%,115,5%,0,0%,2,1%,0,0%,2,0,2%,0%
Eel Sauce - .2 oz Portion (6g),11,0,0,0%,0,0%,0,0,0%,115,5%,0,0%,2,1%,0,0%,2,0,2%,0%
Eel Sauce - .3 oz Portion (9g),16,0,0,0%,0,0%,0,0,0%,170,7%,0,0%,4,1%,0,0%,3,0,2%,0%
